Data size : 2793
Training Error : 5.11508951407
Test Error : 51.491646778

Data size : 2793
Training Error : 5.06393861893
Test Error : 51.9093078759

Data size : 2793
Training Error : 5.06393861893
Test Error : 51.9093078759

Data size : 2793
Training Error : 5.06393861893
Test Error : 51.9093078759

Data size : 2793
Training Error : 5.11508951407
Test Error : 51.491646778

Data size : 2793
Training Error : 5.11508951407
Test Error : 51.491646778

Data size : 2793
Training Error : 5.06393861893
Test Error : 51.9093078759

Data size : 2793
Training Error : 5.03836317136
Test Error : 50.8949880668

